Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02,0.5899160560009746,0.592728534002823,0.5797208703920154,0.587455153465271,7532922,0.0,0
2015-01-05,0.5839394252791522,0.5937830749514733,0.5681192874908447,0.5681192874908447,12324588,0.0,0
2015-01-06,0.5723380811755371,0.5726896147081946,0.5586272675834916,0.5596819519996643,11915319,0.0,0
2015-01-07,0.5635491145114634,0.5684709192439922,0.5561663655035699,0.5565178990364075,8763488,0.0,0
2015-01-08,0.5639005629573488,0.5821816449976812,0.5575724993210103,0.5814785361289978,12809885,0.0,0
2015-01-09,0.5786661418119546,0.5881582176744908,0.5646037528741787,0.5695255994796753,11273452,0.0,0
2015-01-12,0.5758535760423973,0.5762051514280386,0.562494340024431,0.5667130351066589,7635118,0.0,0
2015-01-13,0.5674161786123127,0.5758536112010076,0.5628459078654068,0.5712833404541016,7710861,0.0,0
2015-01-14,0.5674162215782105,0.5790176660729656,0.5635491013526917,0.5635491013526917,9041475,0.0,0
2015-01-15,0.56811937619746,0.5776114519707263,0.55616635619004,0.5719864964485168,14774063,0.0,0
2015-01-16,0.5712833590518306,0.5895644426345825,0.5712833590518306,0.5895644426345825,11425290,0.0,0
2015-01-19,0.5892129141983417,0.5930800764743808,0.5842910674916464,0.5902675986289978,6341926,0.0,0
2015-01-20,0.59378312975245,0.6046814646649642,0.5909706521709208,0.6018689870834351,10234111,0.0,0
2015-01-21,0.6053846498507439,0.6074940187799078,0.5702287385162564,0.5807754993438721,39023962,0.0,0
2015-01-22,0.5821816474098332,0.586400342548507,0.5765566926188722,0.5856972336769104,23531510,0.0,0
2015-01-23,0.5874551252134853,0.5874551252134853,0.5747989957683757,0.57725989818573,14165383,0.0,0
2015-01-26,0.5762052085857974,0.581127013018442,0.5723380465965069,0.5797207951545715,14630394,0.0,0
2015-01-27,0.58288483862413,0.6008143478827185,0.58288483862413,0.5983534455299377,43208411,0.0,0
2015-01-28,0.6015174296073517,0.6032752229095885,0.5916737787330059,0.5955409407615662,24903929,0.0,0
2015-01-29,0.594134748243307,0.597650334997839,0.5818301526933451,0.5909706950187683,13925016,0.0,0
2015-01-30,0.5916737986262725,0.5972987541461918,0.5871035275049754,0.5934315919876099,10289988,0.0,0
2015-02-02,0.5955409788731779,0.5955409788731779,0.583236424970091,0.5902675986289978,9593332,0.0,0
2015-02-03,0.5916738129342182,0.6022206152663863,0.5913222793989096,0.596947193145752,22498332,0.0,0
2015-02-04,0.5997596652765946,0.6113611100135867,0.5958925449703307,0.6025721430778503,46760794,0.0,0
2015-02-05,0.6018689474059091,0.6050329582833601,0.5962439926136696,0.6029236316680908,14827142,0.0,0
2015-02-06,0.6001112464181325,0.6018690398219771,0.5955409751863164,0.596947193145752,7599320,0.0,0
2015-02-09,0.5934314973193333,0.5941346480789764,0.5747988822797402,0.5779629349708557,19664201,0.0,0
2015-02-10,0.5779630714254327,0.5899160504341125,0.5751505934501249,0.5899160504341125,11761397,0.0,0
2015-02-11,0.5955409751863164,0.602923724246104,0.5916738129342182,0.596947193145752,28957121,0.0,0
2015-02-12,0.596595641499426,0.610306412869552,0.5944862727152069,0.6032752394676208,28739194,0.0,0
2015-02-13,0.6060876825011804,0.6096032690008176,0.5990565095019059,0.6018689870834351,16657781,0.0,0
