1U1
III
A2A
AAK
AALB
ARL
ABBN
ABN
ABDN
AC
ACKB
ACS
ADEN
ADS
ADM
ADYEN
AGN
AENA
ADP
AGS
AIR
AF
AI
AKRBP
AKZA
ALFA
ALV
ALO
ATE
AMS
AMBU-B
AMS
AMUN
ANDR
AAL
ABI
ANTO
MAERSK-B
MT
ARGX
AKE
AT1
AHT
ASM
ASML
ASRNL
ASSA-B
G
ABF
AZN
ATL
ATCO-A
ATO
NDA
AUTO
AVV
AV
CS
BA
BBY
BALN
BBVA
BAMI
BCP
SAB
SAN
BKT
BIRG
PEO
BARC
BDEV
BARN
BAS
BAYN
BMW
BION
BEZ
BC8
BEI
BWY
BKG
BHP
BB
BIM
BME
BNP
BOL
BOL
EN
BP
BNR
BATS
BLND
BVIC
BT-A
BUCN
BNZL
BRBY
BVI
CABK
CAP
CPI
CARL-A
AFX
CCL
CA
CO
CAST
CDR
CLNX
CMBN
CNA
LISN
CHR
CDI
CINE
CLN
CBG
CNHI
CNP
COFB
COLO-B
COLR
SGO
CFR
CPG
CON
CTEC
1COV
COV
ACA
CSGN
CRH
CRDA
BN
DANSKE
AM
DSY
CPR
DCC
DPH
DHER
DEMANT
DLN
DBK
DB1
LHA
DPW
DTE
DWNI
DGE
DIA
DLG
DKSH
DOM
DSV
DUFN
EZJ
EDEN
EDP
FGR
EDF
ELUX-B
EKTA-B
ELIS
ELISA
EMSN
ENG
ELE
ENEL
ENGI
ENI
ENT
EOAN
EPI-A
EQNR
EBS
EL
ESSITY-B
RF
ERF
ENX
ETL
EVK
EVT
EVR
EXO
EXPN
FABG
EO
FERG
RACE
FER
FBK
FLS
FHZN
FLTR
FORTUM
FRA
FNTN
FME
FRE
FPE3
GLPG
GALE
GALP
G1A
GEBN
GFC
GMAB
GF
GXI
GETI-B
GET
GIVN
GJF
GLEN
GN
GPE
GLJ
GRF
GBLB
GSK
HLMA
HMSO
HNR1
HL
HAS
HEI
HEIO
HEIA
HLE
HELN
HEN3
HM-B
HER
RMS
HEXA-B
HPOL-B
HIK
HSX
LUN
HOT
HOLN
HSV
HWDN
HSBA
BOSS
HUH1V
HUSQ-B
IBE
ICAD
IGG
IMCD
NK
IMI
IMB
INCH
ITX
INDU-A
IFX
INF
INGA
COL
IHG
ICP
IAG
IP
ITRK
ISP
INVP
INVE-B
IPN
ISS
IG
ITV
DEC
JMT
JMAT
WG
BAER
JUP
TKWY
JYSK
KBC
KER
KRZ
KESKOB
KGH
KIND-SDB
KGF
KRX
KINV-B
KGX
LI
KNEBV
KCR
AD
DSM
KPN
PHIA
VPK
SDF
KNIN
MMB
LAND
LXS
LGEN
LEG
LR
LUND-B
LDO
LIN
LLOY
LOGN
LSEG
LONN
LOOMIS
OR
LPP
MC
EMG
MAP
MKS
MB
MGGT
MRO
MBG
MRK
MRL
B4B
ML
MCRO
MONC
MNDI
MOR
MOWI
MTX
MUV2
NG
NTGY
NWG
NEM
NESTE
NESN
NXT
NIBE-B
NN
NOKIA
TYRES
NDA-FI
NHY
NOVN
NOVO-B
NZYM-B
OCDO
OERL
OMU
OMV
ORA
ORNBV
ORK
ORP
LUNE
ORSTED
PNDORA
PGHN
PSON
PNN
RI
PSN
PHNX
PIRC
PGN
PKN
POLY
PAH3
PST
PKO
PZU
PSM
PROX
PRU
PRY
PSPN
PUB
PUM
QGEN
QLT
RBI
RAND
RKT
REC
RED
REL
RCO
RNO
RTO
REP
RXL
RHM
RMV
RIO
ROG
ROCK-B
RR
ROR
BOKA
RMG
RBREW
RS1
RUI
RWE
RYA
SAAB-B
SAF
SGE
SBRY
SPM
SALM
SAMPO
SAND
SAN
SPL
SAP
SRT3
DIM
SBMO
SCHA
SCHP
SU
SDR
SCR
G24
SK
SECU-B
SGRO
SVT
SGSN
SIE
ENR
SGRE
SHL
LIGHT
SIKA
WAF
SIM
SEB-A
SKA-B
SKF-B
SMDS
SN
SMIN
SKG
SRG
GLE
CBK
SW
SOF
SOLB
SOON
SOP
SXS
SPIE
SPX
SSE
SSPG
STAN
STLA
STJ
STM
STERV
STB
STMN
SUBC
SCA-B
SHB-A
UHR
SWED-A
SWMA
SOBI
SCMN
SLHN
SPSN
SREN
SY1
TEG
TATE
TW
TECN
FTI
TEL2-B
TIT
ERIC-B
O2D
TEF
TNET
TEL
TEP
TELIA
TEMN
TEN
TRN
TSCO
TGS
HO
TKA
TOM
TTE
TPK
TREL-B
BBOX
TRYG
TUI1
UBI
UBSG
UCB
UMI
URW
UCG
ULVR
UN01
UTDI
UU
UTG
UPM
FR
VALMT
VACN
VIE
VER
VWS
VCT
VIFN
DG
VMUK
VIS
VIV
VOD
VOE
VOW3
VOLV-B
VNA
WDP
WRT1V
WEIR
MF
WTB
SMWH
WIE
WKL
WLN
WPP
YAR
ZAL
ZURN
GL9
